name,city,rating,rating_count,cost,cuisine,address
Kurda Ram Desi Ghee Dhaba(Original & Famous),Abohar,--,Too Few Ratings,₹ 250,North Indian,"Kurda Ram Desi Ghee Dhaba(Original & Famous), BAZAR NO. 4, ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
Paratha 24x7,Abohar,--,Too Few Ratings,₹ 150,"Indian,Thalis","Paratha 24x7, Waryam nagar, Abohar (M Cl), Fazilka   1(Abohar), Fazilka, Punjab - 152116"
NIKKU VEG THALI,Abohar,4.1,100+ ratings,₹ 150,North Indian,"NIKKU VEG THALI, College Road, Near Railway Line, Abohar"
PARJAPATI FAST FOOD,Abohar,--,Too Few Ratings,₹ 200,"Fast Food,American","PARJAPATI FAST FOOD, NEW GRAIN MARKET, NEAR SEWA KENDR, Fazilka 1(Abohar), Fazilka, , Punjab, 152116"
Ganesh Fast Food,Abohar,--,Too Few Ratings,₹ 150,Chaat,"Ganesh Fast Food, Abohar, Fazlika road chowk, near Barundham"
Mitran Da dhaba,Abohar,--,Too Few Ratings,₹ 200,"North Indian,Indian","Mitran Da dhaba, Uttam Vihar colony, gate-2, Last crossing, abohar, Punjab 152116"
The Super Cafe,Abohar,--,Too Few Ratings,₹ 250,Beverages,"The Super Cafe, NAI ABADI, BADI POUDI, ST. NO.19,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
chacha sweets house,Abohar,--,Too Few Ratings,₹ 200,"Sweets,Beverages","chacha sweets house, h no 2402 st no 24 gaushalla road opp sukhmani hospital abohar"
Cafe M,Abohar,--,Too Few Ratings,₹ 200,"Continental,Snacks","Cafe M, NEAR SITO FATAK, OPP LOONA NURSING HOME, ABOHAR,  Fazilka, Punjab- 152116"
Frankie roll junction,Abohar,--,Too Few Ratings,₹ 60,"North Indian,Fast Food","Frankie roll junction, lajpat rai market near nehru park abohar"
G.K Dhaba,Abohar,--,Too Few Ratings,₹ 300,"North Indian,Thalis","G.K Dhaba, Khandwala Road, Abohar"
DAYA RAJ VEG VAISHNO DHABA AND  CATERS,Abohar,--,Too Few Ratings,₹ 300,"Chinese,Snacks","DAYA RAJ VEG VAISHNO DHABA AND  CATERS, THAKKAR ABADI ROAD NEAR RAILWAY  CROSSING ABOHAR, Abohar (M Cl), Fazilka  1(Abohar), Fazilka, Punjab - 152116"
JUICY BAR N RESTO,Abohar,--,Too Few Ratings,₹ 300,"Beverages,Pizzas","JUICY BAR N RESTO, BABA NAMDEV CHOWK, NEAR DOMINOS,  HANUMANGARH ROAD, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
FresHub,Abohar,--,Too Few Ratings,₹ 200,Beverages,"FresHub, SHOP NO. 118, CITY WALK MALL, GROUND  FLOOR,HANUMANGARH ROAD,ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
The Food Factory,Abohar,--,Too Few Ratings,₹ 200,"North Indian,South Indian","The Food Factory, SIDHU NAGRI ,ST NO.5, MAIN ROAD, ABOHAR, Abohar (M Cl), Fazilka 1(Abohar), Fazilka"
MUNNA PUNJABI RASOI,Abohar,--,Too Few Ratings,₹ 400,"Chinese,Indian","MUNNA PUNJABI RASOI, HANUMANGARH ROAD NEAR DAV COLLEGE ABOHAR"
Grill Master By Sharda Anita Enterprises,Abohar,--,Too Few Ratings,₹ 250,"Fast Food,Italian","Grill Master By Sharda Anita Enterprises, OPP DOMINO'S PIZZA, NEAR NAMDEV  CHOWK, HANUMANGARH ROAD, ABOHAR,  Fazilka 1(Abohar), Fazilka, Punjab-152116"
Maruti Plaza,Abohar,--,Too Few Ratings,₹ 150,"Beverages,Snacks","Maruti Plaza, house no st no 4 near durga mata mandir abohar"
Nikku Chaap Cafe,Abohar,--,Too Few Ratings,₹ 200,"Indian,Chinese","Nikku Chaap Cafe, 324, Street No: 3, Badi Puri, Nai Abadi, Abohar-152116"
DK Food Point,Abohar,--,Too Few Ratings,₹ 100,Chaat,"DK Food Point, SCO 29, Sri Ganganagar Rd, opposite PSPCL Power Station, Kothi Faij, Abohar, Punjab 152116, India"
TUMMY CLINIK FAST FOOD CORNER,Abohar,--,Too Few Ratings,₹ 200,"Snacks,Chinese","TUMMY CLINIK FAST FOOD CORNER, nai abadi, street no.12, near post office,  abohar , Abohar (M Cl) , Fazilka 1(Abohar),  Fazilka, Punjab-152116"
Sagar Fast Food,Abohar,--,Too Few Ratings,₹ 200,"North Indian,Fast Food","Sagar Fast Food, STREET NO. 6 MOHAN BAZAR NEAR SHIV MANDIR ABOHAR"
SUDESH FAST FOOD,Abohar,4.0,20+ ratings,₹ 250,"Bakery,Chinese","SUDESH FAST FOOD, Shri Ganganagar Road, Near Tara  Estate, Fazilka 1(Abohar), Fazilka, ,  Punjab, 152116"
Sonu Tandoori Paties,Abohar,--,Too Few Ratings,₹ 100,North Indian,"Sonu Tandoori Paties, near tehsil complex sitto road abohar"
Bihari da vaishno dhaba,Abohar,4.0,20+ ratings,₹ 200,North Indian,"Bihari da vaishno dhaba, hanumangarh road mahavir colony lajpat nagar abohar"
SHRI GANESH SWEET HOUSE,Abohar,--,Too Few Ratings,₹ 200,Indian,"SHRI GANESH SWEET HOUSE, NEW GRAIN MARKET, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
Sharma Bakery,Adilabad,3.5,20+ ratings,₹ 100,Bakery,"Sharma Bakery, Near Kumar Janta Ganesh Mandal, Kumar Pet Adilabad"
IFC Restaurant,Adilabad,3.5,100+ ratings,₹ 400,American,"IFC Restaurant, Jagadamba Towers, Gandhi Printing Press, Adilabad"
Ayappa Fast Food,Adilabad,3.6,20+ ratings,₹ 100,Chinese,"Ayappa Fast Food,  opp-little star high school, ravindra nagar colony,, Adilabad - 504001"
Hot N Chill Restaurant,Adilabad,3.5,100+ ratings,₹ 150,"European,Italian","Hot N Chill Restaurant, H NO 4 -4 -703 BHUKTHAPUR,ADILABAD 504001"
China Kitchen Fast Food,Adilabad,3.1,20+ ratings,₹ 150,"Chinese,Fast Food","China Kitchen Fast Food, Gunj Road,Near Tamsi BusStand,Adilabad"
Devi Family Restaurant,Adilabad,3.4,50+ ratings,₹ 400,"Indian,Chinese","Devi Family Restaurant, Collector Chowk, Adilabada"
Instaa Fast Food Center,Adilabad,--,Too Few Ratings,₹ 250,"Chinese,Snacks","Instaa Fast Food Center, Door No:6-16-212, Near Sfc school Subashnagar,Nizamabad,(urban),Nizamabad,Telanagana -503001"
Hotel Radha Grand Family restaurant,Adilabad,3.5,50+ ratings,₹ 200,Biryani,"Hotel Radha Grand Family restaurant, opp: Star Medicals,near RIMS Hospital,Collector Chock.Adilabad"
Hotel Surabhi Grand,Adilabad,3.7,100+ ratings,₹ 300,"Indian,Chinese","Hotel Surabhi Grand, Cinema Road, Adilabad"
Food Court,Adilabad,3.4,50+ ratings,₹ 400,"Indian,Chinese","Food Court, Bus Stand Road,Adilabad"
T-Ruchi,Adilabad,--,Too Few Ratings,₹ 300,"Sweets,Snacks","T-Ruchi, Pillar No C 1432, Meridian Plaza, Ground Floor, Ameerpet Rd,  Begumpet, Hyderabad, Telangana 500016"
CRUNCHY FAST FOOD CENTRE,Adilabad,--,Too Few Ratings,₹ 150,"Chinese,Snacks","CRUNCHY FAST FOOD CENTRE, GANDHI PARK ROAD, Adilbad (Urban),  Adilabad, Telangana - 504001"
8AM TIFFINS,Adilabad,--,Too Few Ratings,₹ 100,South Indian,"8AM TIFFINS, H. NO. 4-3-114, NETAJI CHOWK,  ADILABAD-504001 TELANGANA, Adilbad  (Urban), Adilabad, Telangana - 504001"
Minerva Ice Cream,Adilabad,4.0,20+ ratings,₹ 250,Desserts,"Minerva Ice Cream, Collector Chowk, Adilabad"
Ayyappa Mess,Adilabad,--,Too Few Ratings,₹ 200,South Indian,"Ayyappa Mess, NTR Circle, Adilabad"
FRUITASTY,Adilabad,--,Too Few Ratings,₹ 100,"Beverages,Desserts","FRUITASTY, 6/5/59, Near Srinivasa Nursing Home Netaji Chowk, Adilabad , Adilbad (Urban), Adilabad (Telangana), - 504001"
Lotus Grand Family Restaurant,Adilabad,3.6,50+ ratings,₹ 250,Biryani,"Lotus Grand Family Restaurant, opp bustand Adilabad"
Shaifan Tiffin Centre,Adilabad,--,Too Few Ratings,₹ 110,"Street Food,Indian","Shaifan Tiffin Centre, New bus stand (opposite) telagana grammina bank,  Adilabad, Telangana-504001"
Food On Wheels,Adilabad,--,Too Few Ratings,₹ 100,South Indian,"Food On Wheels, C/O STU BHAVAN,Gandhi Park Road,  Adilbad (Urban), Adilabad, Telangana -  504001"
Sri Sai Mom's Kitchen Restaurant,Adilabad,3.3,20+ ratings,₹ 400,Biryani,"Sri Sai Mom's Kitchen Restaurant, Teachers Coloney, Dasnapur, Adilabad"
